episode,reward
2,4.1675438596491325
2,3.8675438596491336
2,3.5675438596491333
2,3.267543859649133
2,2.817543859649133
2,2.5175438596491326
2,2.2175438596491324
2,1.917543859649132
2,1.6175438596491318
2,1.3175438596491316
2,0.8675438596491312
2,0.5675438596491309
2,0.117543859649131
2,4.930701754385973
2,4.480701754385973
2,4.030701754385973
2,3.7307017543859726
2,3.4307017543859724
2,3.130701754385972
2,2.830701754385972
2,2.3807017543859716
2,2.0807017543859714
2,5.289473684210533
2,4.839473684210534
2,4.539473684210535
2,4.239473684210536
2,3.9394736842105353
2,3.639473684210535
2,3.339473684210535
2,3.0394736842105345
2,2.7394736842105343
2,2.439473684210534
2,1.9894736842105336
2,1.6894736842105333
2,1.389473684210533
2,1.089473684210533
2,0.7894736842105331
2,0.3394736842105332
2,0.039473684210533155
2,3.248245614035094
2,2.948245614035094
2,2.6482456140350936
2,2.3482456140350934
2,2.048245614035093
2,1.7482456140350928
2,1.4482456140350926
2,1.1482456140350923
2,0.8482456140350924
2,0.39824561403509245
2,0.09824561403509247
3,6.7175438596491235
3,6.267543859649125
3,5.967543859649126
3,5.667543859649127
3,5.367543859649128
3,5.067543859649129
3,4.76754385964913
3,4.317543859649132
3,4.017543859649133
3,7.226315789473695
3,6.926315789473696
3,6.476315789473698
3,6.176315789473699
3,5.7263157894737
3,5.276315789473702
3,4.976315789473703
3,4.676315789473704
3,4.376315789473705
3,7.585087719298268
3,7.285087719298269
3,6.98508771929827
3,6.685087719298271
3,6.385087719298272
3,6.085087719298273
3,5.785087719298274
3,5.485087719298275
3,5.185087719298276
3,4.885087719298277
3,4.585087719298278
3,4.13508771929828
3,3.835087719298281
3,3.535087719298282
3,3.235087719298283
3,6.443859649122845
3,6.143859649122846
3,5.843859649122847
3,5.543859649122848
3,5.243859649122849
3,4.94385964912285
3,4.643859649122851
3,4.3438596491228525
3,4.043859649122854
3,3.7438596491228546
3,3.4438596491228557
3,3.1438596491228568
3,2.8438596491228565
3,2.5438596491228562
3,2.093859649122856
3,1.7938596491228558
3,1.4938596491228555
3,1.1938596491228552
3,0.893859649122855
3,0.5938596491228547
3,0.29385964912285445
4,6.7175438596491235
4,6.4175438596491245
4,6.117543859649126
4,5.817543859649127
4,5.517543859649128
4,5.217543859649129
4,4.91754385964913
4,4.617543859649131
4,4.317543859649132
4,4.017543859649133
4,3.567543859649133
4,3.2675438596491326
4,2.9675438596491324
4,2.517543859649132
4,5.726315789473694
4,5.426315789473695
4,5.126315789473696
4,4.676315789473698
4,4.376315789473699
4,4.0763157894737
4,3.776315789473701
4,6.985087719298264
4,6.685087719298265
4,6.385087719298266
4,6.085087719298267
4,5.785087719298268
4,5.485087719298269
4,5.18508771929827
4,4.885087719298271
4,4.585087719298272
4,4.285087719298273
4,3.9850877192982743
4,3.6850877192982754
4,3.3850877192982756
4,3.0850877192982753
4,2.785087719298275
4,2.4850877192982748
4,2.1850877192982745
4,1.8850877192982742
4,1.585087719298274
4,1.2850877192982737
4,0.8350877192982733
4,0.535087719298273
4,0.235087719298273
5,6.7175438596491235
5,6.4175438596491245
5,6.117543859649126
5,5.667543859649127
5,5.367543859649128
5,5.067543859649129
5,4.76754385964913
5,4.4675438596491315
5,7.676315789473693
5,7.376315789473694
5,7.076315789473695
5,6.7763157894736965
5,6.476315789473698
5,6.176315789473699
5,5.7263157894737
5,5.426315789473701
5,5.126315789473702
5,4.676315789473704
5,4.376315789473705
5,4.076315789473706
5,3.776315789473707
5,3.476315789473708
5,3.1763157894737075
5,2.8763157894737073
5,2.576315789473707
5,2.2763157894737067
5,1.9763157894737065
5,1.6763157894737062
5,1.376315789473706
5,1.0763157894737057
5,0.7763157894737054
5,0.47631578947370523
5,0.1763157894737053
6,6.7175438596491235
6,6.4175438596491245
6,6.117543859649126
6,5.817543859649127
6,5.517543859649128
6,5.217543859649129
6,4.91754385964913
6,4.617543859649131
6,4.317543859649132
6,4.017543859649133
6,3.717543859649133
6,3.4175438596491325
6,3.1175438596491323
6,2.817543859649132
6,2.5175438596491317
6,2.2175438596491315
6,1.9175438596491312
6,1.617543859649131
6,1.3175438596491307
6,1.0175438596491304
6,0.7175438596491305
6,0.41754385964913054
6,0.11754385964913056
7,6.7175438596491235
7,6.4175438596491245
7,6.117543859649126
7,5.817543859649127
7,5.517543859649128
7,5.217543859649129
7,4.91754385964913
7,4.4675438596491315
7,4.1675438596491325
7,3.8675438596491336
7,3.4175438596491334
7,6.626315789473695
