episode,loss
32,6.024834632873535
33,6.0065813064575195
34,5.78169059753418
35,5.834517955780029
36,5.767465114593506
37,5.466390132904053
38,5.364830493927002
39,5.541790008544922
40,4.848039150238037
41,5.839988708496094
42,5.167444705963135
43,5.307101726531982
44,4.758068084716797
45,4.963708877563477
46,4.634737491607666
47,5.3662285804748535
48,4.529453277587891
49,5.20979642868042
50,5.303281784057617
51,4.890667915344238
52,5.4634246826171875
53,4.210052013397217
54,4.0974626541137695
55,4.5115556716918945
56,4.178150177001953
57,5.101820468902588
58,4.237536907196045
59,5.199458599090576
60,4.242544651031494
61,4.508780002593994
62,3.6151485443115234
63,4.102311134338379
64,4.191924571990967
65,4.317196846008301
66,3.900350332260132
67,4.516415596008301
68,3.70514178276062
69,4.227168560028076
70,3.1403558254241943
71,4.481881618499756
72,3.4255731105804443
73,4.5947585105896
74,3.4329686164855957
75,4.88502836227417
76,2.8891713619232178
77,5.383423805236816
78,2.648181676864624
79,5.9219465255737305
80,2.647352933883667
81,6.6037211418151855
82,2.984452486038208
83,8.40134334564209
84,2.705848217010498
85,9.891278266906738
86,2.9906094074249268
87,12.221341133117676
88,3.4793527126312256
89,14.003435134887695
90,4.1531195640563965
91,18.437795639038086
92,5.707681179046631
93,21.606977462768555
94,5.930093288421631
95,24.544126510620117
96,6.185816287994385
97,30.55694580078125
98,8.262991905212402
99,36.703369140625
100,10.241195678710938
101,40.3881950378418
102,14.754485130310059
103,48.21677780151367
104,16.317777633666992
105,57.809234619140625
106,19.685075759887695
107,68.8643569946289
108,29.237476348876953
109,78.48326873779297
110,31.21478843688965
111,90.70046997070312
112,37.3372917175293
113,100.21223449707031
114,46.24232864379883
115,115.15010833740234
116,60.685340881347656
117,133.0406951904297
118,66.007568359375
119,140.25015258789062
120,80.04478454589844
121,160.1655731201172
122,83.79027557373047
123,183.36122131347656
124,97.19287872314453
125,207.4871368408203
126,121.86031341552734
127,235.1963653564453
128,141.2364501953125
129,248.509521484375
130,169.6345672607422
131,278.2372741699219
132,179.15399169921875
133,305.2431335449219
134,200.99127197265625
135,332.542236328125
136,213.41612243652344
137,367.97271728515625
138,247.656494140625
139,384.6725769042969
140,265.6046447753906
141,404.0326232910156
142,294.1894226074219
143,445.3260803222656
144,305.556884765625
145,486.5653381347656
146,339.7675476074219
147,495.8453674316406
148,361.4855041503906
149,537.8206787109375
150,406.92236328125
151,580.7374877929688
152,419.37744140625
153,600.6544189453125
154,461.31109619140625
155,640.9326171875
156,481.140869140625
157,710.199951171875
158,549.3849487304688
159,771.9678955078125
160,598.0616455078125
161,802.8782958984375
162,639.3726806640625
163,840.1306762695312
164,688.6051635742188
165,889.0372314453125
166,718.6199951171875
167,970.2357788085938
168,775.0794677734375
169,1040.1453857421875
170,838.6494140625
171,1112.4833984375
172,859.49560546875
173,1130.4852294921875
174,924.5797119140625
175,1182.633056640625
176,964.0830078125
177,1255.1175537109375
178,1028.2542724609375
179,1320.330078125
180,1071.844482421875
181,1382.9027099609375
182,1139.9290771484375
183,1467.5406494140625
184,1190.9671630859375
185,1520.5594482421875
186,1297.8206787109375
187,1594.8319091796875
188,1339.9136962890625
189,1658.1688232421875
190,1399.15869140625
191,1736.0445556640625
